id	title	abstract	labels
55	我的脑内恋碍选项	【选吧:①赤裸上半身大叫。　②赤裸下半身大叫。】这样乱七八糟的选项，今天又在学校里爆发了！我甘草奏的【绝对选项】是一种会突然出现脑中，不选就不消失的悲惨诅咒；害得我整天举止怪异，被列为「五黑」（指黑名单的前五位）之一。然而，在如此饱尝女生白眼的校园生活中，我脑内突然出现了①美少女从天而降的选顶——？谁来结束我丢人的校园生活啊！	搞笑 恋爱 校园 后宫 
56	魔装学园H×H	声明：因某些原因，本书不再提供小说插图。被姐姐叫到战略防御学园阿塔拉克西亚来的飞弹伤无，与操纵着魔导装甲「HeartHybirdGear」的女孩子爱音相会。被突然就脱起衣服来的爱音吓了一跳，姐姐传来的通讯内容竟然是上去揉爱音的胸部!?实际上，伤无体内有着通过H行为让女性力量增幅的能力，为与异世界交战而生的重大任务开始了！	魔法 校园 冒险 后宫 
57	GOSICK	「圣玛格丽特学园」中的日本留学生久城一弥，与拥有天才头脑的同年级少女维多利加共同遭遇的种种事件。久城一弥是从日本来到西欧小国苏瓦尔留学的少年，在当地他结识了犹如洋娃娃般美丽的同年级少女维多利加。维多利加拥有如侦探一般聪明的头脑和明察秋毫的洞察力。曾帮助警方轻松解决了不少棘手案件(只可惜功劳都被别人抢去了)。在故事中，她与一弥遭遇了种种怪异事件：十年前的惨剧，占卜师的遇害,神秘的幽灵船。身边的人一个接一个离奇死亡。陷入重重危机的维多利加和久城一弥又是否能找出惨剧背后的真相？	推理 
58	问题儿童的最终考验	拥有「少许」特殊能力的少年·西乡焰收到一封邮件。打开那封邮件的瞬间，焰被召唤到异世界！那里是由神魔的游戏·恩赐游戏所支配的世界。被有着一对美妙兔耳的洛丽塔少女·黑兔所迎接的焰，立马就要参加超大型的恩赐游戏！？与一起被召唤到异世界的彩里铃华、久藤彩鸟，还有阔别5年的逆迴十六夜共同挑战甚至牵涉到现实世界的众神游戏！！	搞笑 异世界 穿越 
59	魔法人力派遣公司	「魔法使派遣公司阿斯特拉尔、提供能满足您所需求的魔法使」——没有任何才能的高中生少年伊庭树,有着平凡的外表,右眼因为小时候的意外事故,带着如海贼般的眼罩,个性极度胆小,连看「哆啦Ａ梦魔界大冒险」都能被吓到昏倒。由于父亲伊庭司的失踪超过了七年,因而继承了父亲的资产,其中包括了已经没落的某公司的经营权。经营的内容,竟然是」魔法使的出租」。莫名其妙而当上社长的树,多灾多难的生活就此展开……	奇幻 
60	虫之歌	掠食人类的梦境，并给予宿主超能力的「虫」已经出现长达10年之久。药屋大助在搭乘通往学校的电车上遇见名叫诗歌的少女，彼此互相吸引。然而诗歌却是从收容「附虫者」的国家机密设施溜出来的逃犯。因此，特别环境保全事务局命令最优秀的密探，也是最强附虫者的「郭公」出动，打算毫不留情地追杀诗歌！怀抱梦想的人们，其痛切而强烈的愿望，正在刻划著圣夜——这是一桩关于男孩遇上女孩，最美丽又最恶劣的故事！	超能力 
61	木叶之最强肉遁	血和汗交织出男人专属的味道，肉体与肉体的碰撞摩擦出火花般炫彩夺目的激情！男人就应该用身体来交流！动物系·牛牛果实·幻兽种·牛魔王形态。海贼王世界的恶魔果实，在火影世界变成了一个头长牛角的怪物。当肉到一定程度的时候，没有什么敌人是累不死的。……气喘吁吁的六道斑：「我宇智波斑愿称你为最肉！」	坚毅 孤儿 玄学 穿越 
62	密斯玛路卡兴国物语	位于大陆两大主要阵营之间的小国，密斯玛路卡王国。虽然是个和平的国家，但却首当其冲遭到帝国军攻击。在国王率军外出且城内只留下被称为大笨蛋的马希洛王子的情况下，密斯玛路卡的命运将会如何？率领奇袭军的帝国第三公主露娜斯，又会以何种方式进攻居然唱空城计的密斯玛路卡？一场震撼整座大陆的激烈战争即将展开！	冒险 异界 
63	末日时在做什么？有没有空？可以来拯救吗？	★以人类灭亡后五百年的世界为舞台，妖精少女与人类青年共同经历的日子。「人类」遭到非比寻常的「兽」蹂躏而灭亡了。除了独自从数百年沉眠中苏醒的青年威廉以外。唯有「圣剑」与使用圣剑的妖精兵能代替「人类」打倒「兽」。战斗过后，「圣剑」能再次被他人使用，但用尽力量的妖精兵们却会殒命。「至少，我也希望自己不用消失，也想让别人记住。我也想留下羁绊啊。」这是注定赴死的妖精少女们和青年教官共度的，既短暂又灿烂的日子。	冒险 魔法 异世界 
64	转生之后我变成了龙蛋~目标乃是世界最强~	【web版】醒来之时，映入眼帘的是一片陌生的森林。看来这里就是所谓的充斥着异性及魔兽的幻想世界，不过话虽如此，这里却可以像游戏一般查询敌人和自己的能力值呢。狩猎魔兽使Lv上升，搜集【称号】然后向着上位龙进化！脑袋里发出的谜之声向我催促着、【目标直指最强】！翻译：黑白豬、charx27	异世界 穿越 冒险 后宫 
65	丹特丽安的书架	修伊从过去不惜以半片领土交换一本珍奇书籍的搜书狂祖父处，继承了古老大宅及其所有藏书。唯一的条件，便是要他继承「书架」——为整理遗物而造访大宅的修伊，在满是书籍的地下室里邂逅了静静读着书的少女。身穿漆黑洋装、胸前垂挂着大锁的少女妲丽安，正是通往收藏禁忌「幻书」的「丹特丽安」书架的入口。同时也是通往恶魔智慧的门扉——	神鬼 
66	东京皇帝☆北条恋歌	「对了，去上学吧！」东京皇帝．北条恋歌在得知好友，同时也是东京帝国宰相的南德原来珠转入皇泉学园后，感觉「似乎很有趣」，因此决定也要就读这所学校。不过，少根筋的她所採取的行动让学校一口气陷入严重的混乱当中！来珠的未婚夫．一斗以及他那疑似有恋兄情结的妹妹，再加上军司令长官也被卷入其中，事态演变成在帝国史上也要记上一笔的大骚动!?超VIP少女们主导的恋爱专制主义即将展开！独裁的学园爱情喜剧，现在开始！	爱情 校园 
67	这个勇者明明超TUEEE却过度谨慎	废柴女神莉丝塔要负责拯救超难模式的世界。虽然成功召唤出能力值高到犯规的勇者圣哉，没想到他却谨慎到超乎想像……「我要三副盔甲。一副拿来穿，一副备用，还有一副是备用不见时的备用。」不仅囤积异常的库存，还自主训练到满等为止，谨慎到连打史莱姆都全力以赴！如此谨慎的勇者和被他耍得团团转的女神，即将展开冒险旅程！	奇幻 勇者 喜剧 战斗 
68	R15	15岁的芥川丈途是个在报纸上连载专栏的天才情色作家！当这样的他进入充满天才（......应该说有某种才能）的闪学园就读后，却被当成偷窥女子宿舍的变态狂，掀起情色的轩然大波！再加上班级对抗大赛也将要展开，学园生活真是热闹非凡。丈途的情色才能究竟能否让他成为班上的No.1呢!?十五岁未满NG！禁忌的学园生活即将上演！	校园 搞笑 后宫 
69	刺客守则	「让对方在不晓得何谓绝望的状况下往生，正是刺客的慈悲。」梅莉达·安杰尔虽然身为贵族，且就读于培育能力者的学校，却是个不具备玛那能力的少女。库法·梵皮尔被派来担任她的家庭教师，但他同时也肩负「倘若确认梅莉达没有才能，就暗杀她」的任务——「要不要试着把生命托付给我？」并非以刺客或单纯的教师身分，而是赌上暗杀教师的骄傲，向世界展现少女的价值！	魔法 后宫 
70	神话传说英雄的异世界奇谭	奥黑比吕过去曾被召唤到一个名为亚雷堤尔的异世界，以《军神》的身分与同伴携手拯救了国家，并征服周遭诸国，建立起庞大的帝国。在完成这一切丰功伟业之后，比吕下定决心舍弃一切，不惜以失去记忆为代价，回到自己原本的世界。比吕在原本的世界里每天过着幸福的生活，却又因缘际会再度被召唤回异世界──没想到，他竟然来到1000年后的亚雷堤尔！？自己过去所打造的荣耀事迹已成了『神话』，在这个世界里，被称为『双黑英雄王』的少年将创造新的『神话传说』，故事就此揭开序幕！	冒险 恋爱 异世界 穿越 后宫 
71	平凡职业造就世界最强	『被霸凌的孩子』南云始，与同班同学一起被召唤至异世界。虽然同学们接连显现战斗取向的特殊能力，但始却只拥有炼成师这种平凡的能力。而且在异世界仍为最弱的他，竟被某位同学恶意推落了迷宫深谷──！？在找不到方法逃脱的绝望深渊中，始像是命中注定般地邂逅吸血鬼月，寻得了以炼成师的身分造就最强的道路──「我保护月，月也保护我。这样我就是最强的。我要扫荡一切，超越全世界。」坠落深渊的少年与隐居最深处的吸血鬼，两人联手打造的『最强』异世界奇幻故事，正式揭开序幕！	冒险 魔法 恋爱 后宫 异世界 穿越 
72	哥布林杀手	「我眼中只有哥布林。」这是一个只能杀死哥布林的男人祈祷自己成为「冒险者」的故事。「我无法拯救世界。我只能杀死哥布林。」据说，在边境的公会中，有一个男人，他是仅凭猎杀哥布林便将自己的名次提升至银（第三级）的稀有存在……一名成为冒险者的女神官初次组队，在她身陷险境时，出手相助的正是那名被称为「哥布林杀手」的男人。他不择手段、不惜一切代价，仅为剿灭哥布林。女神官为他所摆布，女接待员对他心怀感激，他青梅竹马的养牛妹在等待着他。就在那时，一名听闻了他的事迹的精灵少女出现，向他提出了委托——超人气网络作品终于成书！蜗牛くも和神奈月升献上的黑暗幻想剧，开幕！	魔法 冒险 异界 后宫 
73	小书痴的下克上~为了成为图书管理员不择手段~	从小就是个超级书痴的女大学生丽乃，爱书爱到希望在书堆里死去。该说是「梦想成真」吗？好不容易应徵上图书馆工作的她，没想到却在地震时被掉落的书给活埋……当她再度醒过来时，发现自己竟然转生到了陌生的异世界，变成名叫梅茵的五岁小女孩，不但生在贫穷的士兵家，而且还体弱多病，但最让她难以接受的是，这个世界完全找不到任何书店或图书馆，就算想看书，也是一般平民根本买不起的天价！于是梅茵下定决心：「既然买不到书，那我就自己动手做！」凭藉著对书的满腔热情，目标是成为图书管理员。为了在异世界也能过著被书环绕的美好生活，就从做书开始努力吧！	冒险 搞笑 异世界 穿越 
